type,N,run,suffix
rs,4,1,[26351| 36642| 45193| 62564| 61806| 19558| 88442| 55223| 77155| 84160| 39620| 10524| 113890| 41788| 90793| 2414| 50572| 46447| 13046| 96458| 28607| 77624| 48180| 15041| 50561]
rs,4,2,[94449| 49426| 58550| 32692| 75095| 74518| 13731| 90844| 34210| 72386| 77273| 21437| 50229| 22509| 117550| 65806| 88756| 26359| 42007| 43521| 70239| 95212| 89053| 55801| 39979]
rs,4,3,[35764| 118027| 70684| 92469| 18852| 49426| 43636| 25118| 71067| 80649| 66593| 44210| 96964| 37905| 55586| 25014| 69437| 104786| 86676| 38099| 3894| 46203| 8409| 35826| 105451]
rs,4,4,[50047| 73526| 80000| 22984| 72489| 68038| 63835| 44887| 82596| 5496| 62189| 80200| 80395| 123477| 15905| 47800| 7314| 75776| 44522| 13836| 77388| 40699| 59037| 62460| 88]
rs,4,5,[39222| 82377| 5713| 305| 53942| 32566| 14981| 358| 65843| 30378| 97045| 25552| 2631| 97928| 66750| 4104| 120916| 32868| 101305| 45884| 4669| 32365| 80445| 7833| 26928]
rs,4,6,[18977| 79167| 23415| 1181| 21995| 29357| 64100| 8912| 114321| 26993| 23081| 51821| 78252| 76462| 29685| 23667| 60334| 83246| 65262| 52465| 34956| 77898| 30635| 37001| 116540]
rs,4,7,[81784| 32094| 45639| 64577| 58962| 110748| 7211| 42351| 59918| 89489| 38752| 9730| 23945| 49424| 76199| 6166| 68220| 20415| 74674| 38427| 90300| 44602| 94924| 109054| 24732]
rs,4,8,[64378| 67526| 96161| 75726| 92811| 58398| 43363| 46316| 89118| 95090| 8181| 27493| 6564| 38005| 40780| 47073| 100237| 17361| 48730| 120636| 84178| 106141| 11718| 439| 42315]
rs,4,9,[40602| 12957| 47083| 10792| 70073| 90742| 30787| 106453| 126272| 110954| 93350| 113322| 25097| 55583| 23875| 12479| 77383| 56878| 87079| 41580| 104111| 39466| 72553| 62018| 14971]
rs,4,10,[17977| 79339| 25728| 49795| 67929| 69535| 98846| 54358| 48436| 60711| 82417| 21728| 12341| 62533| 90698| 98459| 51130| 57343| 41224| 19108| 105825| 96119| 14677| 47152| 11256]
rs,4,11,[1252| 42641| 93427| 110397| 23645| 99523| 123617| 35682| 116039| 42722| 5897| 118666| 5865| 89315| 37077| 16670| 27139| 7267| 80346| 30541| 8367| 66454| 26030| 58263| 88993]
rs,4,12,[45763| 47251| 33413| 17924| 27005| 88533| 31412| 48276| 6354| 40688| 94378| 52903| 25197| 15782| 89928| 41902| 42839| 53026| 55583| 2376| 116729| 65943| 26857| 81297| 99482]
rs,4,13,[3453| 50550| 75100| 36912| 6143| 7406| 87850| 118621| 102903| 68376| 110076| 17051| 45839| 111445| 82007| 58449| 10245| 94944| 1227| 88214| 30711| 117332| 43049| 99695| 80871]
rs,4,14,[27518| 102320| 35051| 96270| 93107| 27805| 97368| 3457| 70711| 94224| 83590| 83739| 65073| 85158| 7969| 36262| 70036| 95089| 119490| 119489| 54728| 65323| 3270| 97654| 65393]
rs,4,15,[43541| 26477| 69352| 4169| 10099| 83041| 14505| 95210| 98554| 100951| 80059| 121733| 355| 64116| 28738| 2026| 100695| 81751| 985| 21222| 33720| 122802| 32312| 83172| 82169]
rs,4,16,[121663| 32059| 25094| 30822| 92837| 99615| 123496| 80038| 33881| 123605| 16636| 30810| 113986| 7338| 39956| 23| 55903| 31934| 102244| 20294| 59743| 27526| 16709| 32203| 13993]
rs,4,17,[1724| 69493| 8386| 26289| 39324| 11122| 38324| 101731| 93645| 49010| 115595| 56033| 65632| 100805| 3433| 98080| 34164| 76334| 60981| 42135| 50295| 14065| 59193| 127690| 20436]
