run,suffix
1,[79239| 17768| 49623| 80471| 1210| 95417| 72378| 30069| 33375| 121596| 2283| 25863| 21500| 67727| 39236| 124074| 88147| 24199| 58048| 90081| 17679| 51276| 21502| 72735| 57905]
2,[76779| 12275| 26680| 47364| 120637| 48487| 45685| 39187| 125101| 68910| 112620| 112075| 2801| 6809| 104456| 65208| 7103| 79008| 124192| 45146| 56725| 15043| 2595| 4352| 29459]
3,[68393| 2616| 78080| 5354| 99647| 21266| 15219| 36907| 126860| 87414| 57216| 71117| 111096| 118914| 1961| 25495| 23060| 90571| 94344| 121301| 16572| 79456| 63005| 99420| 90688]
4,[108613| 47936| 125307| 20488| 47744| 23151| 93905| 57619| 51316| 61865| 90501| 104551| 20338| 59530| 32665| 26610| 21135| 103351| 43040| 8851| 5516| 114709| 70557| 20756| 34684]
5,[6902| 36052| 3475| 42962| 13122| 11850| 42629| 12067| 48797| 61138| 83564| 92386| 29175| 17238| 10306| 59426| 8980| 65208| 37412| 121108| 86885| 117574| 119776| 32467| 95606]
6,[54349| 46844| 72462| 39978| 56679| 112162| 34618| 96644| 7447| 59252| 91226| 68910| 18760| 20776| 51695| 127624| 59066| 85977| 32030| 50689| 26547| 76994| 117673| 58754| 10873]
7,[98646| 54404| 96277| 52878| 53976| 12094| 26171| 37075| 14665| 64645| 38151| 73573| 917| 58639| 44160| 26349| 85713| 126075| 92573| 91753| 52594| 58562| 51561| 47226| 62484]
8,[22240| 70832| 37547| 47107| 59997| 81819| 41459| 115702| 109359| 99349| 117430| 124585| 77962| 82609| 107612| 99202| 68856| 26837| 24704| 121235| 78086| 24688| 67626| 38859| 93809]
9,[2024| 64840| 94963| 85643| 104428| 59740| 110452| 91081| 47693| 35700| 125447| 111911| 124585| 88606| 66197| 29674| 62087| 73308| 107216| 75668| 18700| 92250| 11495| 83467| 23861]
10,[119947| 83054| 125501| 72095| 89126| 32209| 119265| 99999| 13966| 51529| 74403| 94249| 16640| 65367| 87297| 19516| 94677| 63130| 99467| 2750| 61412| 50877| 117361| 79556| 5446]
11,[56366| 16488| 75702| 70456| 125318| 30657| 71806| 57614| 21976| 6395| 105043| 46865| 54404| 13529| 16987| 24688| 80118| 100089| 45464| 65853| 7624| 97322| 28042| 105183| 27627]
12,[5563| 46865| 69927| 2907| 12049| 115204| 45242| 86040| 19652| 62121| 113263| 5322| 93270| 29380| 91777| 55917| 15494| 73981| 6694| 78315| 121506| 79597| 89100| 59355| 39321]
13,[79857| 46151| 47675| 125837| 24514| 121108| 125791| 106148| 82341| 813| 59668| 59060| 61658| 22444| 89777| 47897| 115235| 25249| 108673| 51333| 87126| 20543| 7917| 1835| 111601]
