run,iteration,fitness,sure_generated
1,0,3.1859716642657077e-08,0
2,0,2.506923202361122e-08,0
3,0,1.1035459657193769e-08,0
4,0,2.134837551182045e-08,0
5,0,3.5267571973918166e-08,0
6,0,4.738292602723959e-08,0
7,0,2.799697185196237e-08,0
8,0,3.750901456101019e-08,0
9,0,4.799436936764323e-08,0
10,0,1.3060086345717536e-08,0
1,1,3.8191732443237925e-08,0
2,1,2.4970702838800207e-08,0
3,1,1.0384555437781273e-08,0
4,1,1.4248100477232128e-08,0
5,1,3.86655152340154e-08,0
6,1,3.413094873394584e-08,0
7,1,2.9656982647452423e-08,0
8,1,2.561264622613635e-08,0
9,1,5.267565583721989e-08,0
10,1,1.6502067268220344e-08,0
1,2,2.864238801691954e-08,0
2,2,1.7373691818534098e-08,0
3,2,1.037861352415348e-08,0
4,2,1.573777730357051e-08,0
5,2,3.1121899723984825e-08,0
6,2,4.84805049438819e-08,0
7,2,3.650657731668616e-08,0
8,2,3.983896945669585e-08,0
9,2,3.168051776469838e-08,0
10,2,1.6803573643642267e-08,0
1,3,3.773072876356309e-08,0
2,3,2.5619891985684262e-08,0
3,3,1.7264083496115745e-08,0
4,3,2.8742739743847778e-08,0
5,3,4.5156387074030135e-08,0
6,3,3.678413307284245e-08,0
7,3,2.4213749227897097e-08,0
8,3,3.2824303275447164e-08,0
9,3,5.5911481666726104e-08,0
10,3,1.673846483640773e-08,0
1,4,4.386988194937658e-08,0
2,4,2.2507700592200308e-08,0
3,4,1.8524549005860536e-08,0
4,4,2.7411859448989162e-08,0
5,4,2.8007352881331826e-08,0
6,4,3.8218651354782196e-08,0
7,4,4.832656941289315e-08,0
8,4,3.9358813097578604e-08,0
9,4,7.192086570739775e-08,0
10,4,1.2079189204428076e-08,0
1,5,4.2303373248842036e-08,0
2,5,2.5394200520167942e-08,0
3,5,1.1967814295132939e-08,0
4,5,2.6939503072753723e-08,0
5,5,2.3427586981483728e-08,0
6,5,3.06652516712802e-08,0
7,5,1.701799767772627e-08,0
8,5,3.0456078548013465e-08,0
9,5,6.731813328997305e-08,0
10,5,2.0952036550170305e-08,0
1,6,6.534868646212999e-08,0
2,6,1.8504696441823398e-08,0
3,6,1.3482115868157507e-08,0
4,6,2.097035256554136e-08,0
5,6,3.949050864093806e-08,0
6,6,4.037056555716845e-08,0
7,6,2.9164450410235077e-08,0
8,6,4.24557811129489e-08,0
9,6,5.66954270198039e-08,0
10,6,2.244096286574404e-08,0
1,7,5.1614989615700324e-08,0
2,7,4.578899392981839e-08,0
3,7,3.489863331651577e-08,0
4,7,2.9726637151838986e-08,0
5,7,5.373726708057802e-08,0
6,7,3.524143465938323e-08,0
7,7,4.264949993171285e-08,0
8,7,2.3014653294239906e-08,0
9,7,3.6913018419681976e-08,0
10,7,2.0491954799695122e-08,0
1,8,6.345496927906424e-08,0
2,8,5.600375274639191e-08,0
3,8,1.9413748830743316e-08,0
4,8,1.5776024042679637e-08,0
5,8,4.9194312623512815e-08,0
6,8,3.345829924228383e-08,0
7,8,2.7322842655053137e-08,0
8,8,3.8320575157513304e-08,0
9,8,5.2218929624814336e-08,0
10,8,1.2670087201627211e-08,0
1,9,5.3591715953871244e-08,0
2,9,3.866152908926779e-08,0
3,9,2.3037472374198842e-08,0
4,9,1.6685781645264797e-08,0
5,9,2.8738009305584455e-08,0
6,9,3.833639894423868e-08,0
7,9,6.506843419629149e-08,0
8,9,3.237743939621396e-08,0
9,9,6.836915389385467e-08,0
10,9,1.8388211842079727e-08,0
1,10,6.669947083537409e-08,0
2,10,8.809332285864002e-08,0
3,10,2.5187418373207038e-08,0
4,10,2.3227608281217726e-08,0
5,10,5.755338960966583e-08,0
6,10,2.984713276532602e-08,0
7,10,3.465884290676513e-08,0
8,10,3.71888759786998e-08,0
9,10,4.110117757250009e-08,0
10,10,1.693651796585982e-08,0
1,11,6.771067262434372e-08,0
2,11,4.437823974967614e-08,0
3,11,1.2929177728437935e-08,0
4,11,2.8831838250198416e-08,0
5,11,1.9372317083821144e-08,0
6,11,2.0091309949066272e-08,0
7,11,4.248856910749055e-08,0
8,11,4.5668876680338144e-08,0
9,11,7.434299931219357e-08,0
10,11,1.913096880912235e-08,0
1,12,5.894940713346841e-08,0
2,12,6.247449846341624e-08,0
3,12,3.392966263504604e-08,0
4,12,2.4773362028440715e-08,0
5,12,3.021514061174457e-08,0
6,12,4.214048487938271e-08,0
7,12,1.062980459209939e-07,0
8,12,2.1662435401026414e-08,0
9,12,6.46797033709845e-08,0
10,12,1.992767373337756e-08,0
1,13,5.2785235737928815e-08,0
2,13,7.093406395597412e-08,0
3,13,2.8993284217904147e-08,0
4,13,1.5924042529036342e-08,0
5,13,4.222219729399512e-08,0
6,13,4.287327470819946e-08,0
7,13,5.665529556608817e-08,0
8,13,2.4558358902027067e-08,0
9,13,8.380252580764136e-08,0
10,13,2.0324366190038745e-08,0
1,14,5.8516761214377766e-08,0
2,14,6.403963936918444e-08,0
3,14,4.357714544767077e-08,0
4,14,3.629146405614847e-08,0
5,14,6.600185997740482e-08,0
6,14,3.183293628694628e-08,0
7,14,3.604525034006656e-08,0
8,14,2.0564193903283012e-08,0
9,14,6.925035478388963e-08,0
10,14,2.761279205287792e-08,0
1,15,5.561410532095579e-08,0
2,15,1.216647689261663e-07,0
3,15,4.500123296224956e-08,0
4,15,3.070917387049121e-08,0
5,15,6.971384181042595e-08,0
6,15,2.9677227786351068e-08,0
7,15,4.467047887146691e-08,0
8,15,3.8520823864018894e-08,0
9,15,5.082711851400745e-08,0
10,15,1.8634731091538015e-08,0
1,16,4.841708900471531e-08,0
2,16,1.6287501125589188e-07,0
3,16,4.1340516787613524e-08,0
4,16,1.459261600444961e-08,0
5,16,2.249688257904836e-08,0
6,16,3.3035270519121696e-08,0
7,16,7.602086071756275e-08,0
8,16,1.582384534515313e-08,0
9,16,4.322282975977032e-08,0
10,16,2.6206322445432306e-08,0
1,17,7.388741352087891e-08,0
2,17,1.0293990015952659e-07,0
3,17,5.423754600997199e-08,0
4,17,3.41541159798453e-08,0
5,17,6.8949177034483e-08,0
6,17,2.00164116392898e-08,0
7,17,6.138344588180189e-08,0
8,17,4.9365066701057e-08,0
9,17,7.380205602203205e-08,0
10,17,4.8114490169837154e-08,0
1,18,2.898151763019996e-07,0
2,18,3.536760573297215e-08,0
3,18,7.823709324839001e-08,0
4,18,1.9925931837860844e-07,0
5,18,3.9911878246812194e-08,0
6,18,3.51206281834493e-08,0
7,18,4.791698060557792e-08,0
8,18,2.4780060670082094e-08,0
9,18,4.3045844222433516e-08,0
10,18,3.3454163883561705e-08,0
1,19,7.406990221170417e-08,0
2,19,1.7488849834990106e-07,0
3,19,4.38214797782166e-08,0
4,19,9.517479782061855e-08,0
5,19,3.0861112776392474e-08,0
6,19,5.071403563761123e-08,0
7,19,6.75988971465813e-08,0
8,19,3.130054437860963e-08,0
9,19,5.598642260906672e-08,0
10,19,4.2015692258701165e-08,0
1,20,2.1029291019658558e-07,0
2,20,5.521800972019264e-08,0
3,20,3.1182295856524433e-08,0
4,20,5.8954437776037594e-08,0
5,20,3.170809392827323e-08,0
6,20,5.252076817896523e-08,0
7,20,5.107630585143852e-08,0
8,20,3.5983333646072424e-08,0
9,20,6.457725021391525e-08,0
10,20,3.7626701754334135e-08,0
1,21,1.8096162079928035e-07,0
2,21,1.1779463449101968e-07,0
3,21,3.192954167730022e-08,0
4,21,1.4875790554924606e-07,0
5,21,8.571402787538318e-08,0
6,21,6.489222670325034e-08,0
7,21,1.1738148941731197e-07,0
8,21,7.402294244229779e-08,0
9,21,4.923389340660833e-08,0
10,21,3.466388776018903e-08,0
1,22,2.1033073949183745e-07,0
2,22,6.274931507732617e-08,0
3,22,7.42884296300872e-08,0
4,22,9.692331559563172e-08,0
5,22,5.231050792531278e-08,0
6,22,5.2322363330858934e-08,0
7,22,7.407934532466243e-08,0
8,22,6.87799328602523e-08,0
9,22,9.854966975808566e-08,0
10,22,3.4148001759604085e-08,0
1,23,1.0359645585822364e-07,0
2,23,1.9258318673109898e-07,0
3,23,3.8754031095322716e-08,0
4,23,1.9306833110022126e-07,0
5,23,4.765951189256157e-08,0
6,23,3.981183382961717e-08,0
7,23,5.665638624918756e-08,0
8,23,4.629708882930572e-08,0
9,23,4.9379185185216556e-08,0
10,23,3.287831518150597e-08,0
1,24,5.894391392757825e-07,0
2,24,1.3145407251613506e-07,0
3,24,6.90453703100502e-08,0
4,24,6.292810184049813e-08,0
5,24,7.3600794792128e-08,0
6,24,5.493583543625391e-08,0
7,24,9.427443359300014e-08,0
8,24,5.076563169836845e-08,0
9,24,5.218148757535346e-08,0
10,24,5.148133652710385e-08,0
1,25,1.9252652805334947e-07,0
2,25,4.9538506630142365e-08,0
3,25,5.973877392762006e-08,0
4,25,5.0578492505337636e-08,0
5,25,5.631106958503551e-08,0
6,25,3.493180855684841e-08,0
7,25,7.653711975308397e-08,0
8,25,7.859961925760217e-08,0
9,25,9.246652155070478e-08,0
10,25,4.3698392460100877e-08,0
1,26,5.684195798494329e-07,0
2,26,1.798821642751136e-07,0
3,26,4.241190509901571e-08,0
4,26,6.228944471331488e-08,0
5,26,6.612802394556638e-08,0
6,26,3.8228581189514443e-08,0
7,26,1.4166620587729994e-07,0
8,26,4.560896726957253e-08,0
9,26,9.422287661209339e-08,0
10,26,4.28945341468534e-08,0
1,27,2.6432681465848873e-07,0
2,27,4.749747262167148e-08,0
3,27,4.073359249900932e-08,0
4,27,4.940446984846858e-08,0
5,27,5.147711945596711e-08,0
6,27,4.7177660889019535e-08,0
7,27,1.6631616972517804e-07,0
8,27,3.513178725711441e-08,0
9,27,7.61658469627946e-08,0
10,27,1.8243182964283733e-08,0
1,28,8.614127011696837e-08,0
2,28,7.278111269215515e-08,0
3,28,4.844184786634287e-08,0
4,28,8.971989728934204e-08,0
5,28,6.787851702938497e-08,0
6,28,9.599832395679186e-08,0
