run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,sure_count
1,0,9.101276532419433e-08,1.1448595849117282e-08,3.283753002847334e-08,3.619710042812585e-08,2.0719838289551262e-08,0
1,1,1.0679384843115258e-07,1.9140868445788328e-08,4.995857239009638e-08,5.660550428387978e-08,2.0599667749365835e-08,0
1,2,1.4111795110238745e-07,4.48447856626899e-08,7.545540370301751e-08,7.657906309077589e-08,2.5118067625840013e-08,0
1,3,2.1169807951082475e-07,4.502916439719229e-08,1.0110688464237683e-07,1.1068504335298712e-07,4.767307260067355e-08,0
1,4,3.2063860544440104e-07,5.083129295258004e-08,1.4752684762697754e-07,1.6408135650181066e-07,5.358883470307774e-08,0
1,5,3.583715511012997e-07,9.580175941437119e-08,1.4735071829363733e-07,1.8112481825482973e-07,7.727113882083358e-08,0
1,6,6.94490154273808e-07,2.927168907262967e-08,2.0748491635913524e-07,2.235320550880715e-07,1.4309270568446664e-07,0
1,7,1.6090436929516727e-06,8.470674828231495e-08,2.9982254545757314e-07,4.2299058122807764e-07,3.342990169130644e-07,0
1,8,1.6090821191028226e-06,1.2139749117068277e-07,5.294882043926918e-07,6.804237955293502e-07,3.989901529166673e-07,0
1,9,2.483691559973522e-06,1.1044273406923821e-07,8.928329293667048e-07,9.843315638136119e-07,5.767596462646907e-07,0
1,10,2.5542849471094087e-06,9.10499409201293e-08,8.95302719072788e-07,1.0705302884161938e-06,7.131086476874771e-07,0
1,11,3.7794929994561244e-06,1.0787961457481288e-07,1.5326110087698908e-06,1.4476405567620532e-06,8.196589078579564e-07,0
1,12,4.034047833556542e-06,2.0392677413383353e-07,1.3890253285353538e-06,1.6240435343206627e-06,9.924506230163388e-07,0
1,13,5.652329036820447e-06,6.621004189355517e-08,1.863147872427362e-06,1.9558417534426553e-06,1.3250026995592634e-06,0
1,14,5.652329036820447e-06,2.661076905496884e-07,2.4811754428810673e-06,2.4961107101262314e-06,1.5434559372806689e-06,0
1,15,6.248514182516374e-06,1.1343645667238889e-07,2.9380087198660476e-06,2.986830168083543e-06,2.0006530121463584e-06,0
1,16,6.4972809923347086e-06,2.756468404641055e-07,2.91248875328165e-06,2.893659484470845e-06,1.928383881022455e-06,0
